,gapht_m,site,fp_m2,type,tot_mu,tot_se,prop_mu,prop_se
235,30,CdA,16m2,snag,12.84583,0.34417,0.80286,0.02151
236,30,CdA,36m2,snag,29.00139,0.66003,0.80559,0.01833
237,30,CdA,64m2,snag,51.47083,1.04088,0.80423,0.01626
238,30,StJ,16m2,snag,10.51389,0.60339,0.65712,0.03771
239,30,StJ,36m2,snag,24.58333,1.1131,0.68287,0.03092
240,30,StJ,64m2,snag,44.00278,1.75252,0.68754,0.02738
241,32,CdA,16m2,snag,14.00139,0.27671,0.87509,0.01729
242,32,CdA,36m2,snag,31.58611,0.51605,0.87739,0.01433
243,32,CdA,64m2,snag,56.05139,0.81953,0.8758,0.01281
244,32,StJ,16m2,snag,12.00278,0.49439,0.75017,0.0309
245,32,StJ,36m2,snag,27.86111,0.91417,0.77392,0.02539
246,32,StJ,64m2,snag,49.73333,1.48265,0.77708,0.02317
247,34,CdA,16m2,snag,14.96111,0.19125,0.93507,0.01195
248,34,CdA,36m2,snag,33.56806,0.35712,0.93245,0.00992
249,34,CdA,64m2,snag,59.5625,0.55601,0.93066,0.00869
250,34,StJ,16m2,snag,13.99167,0.31162,0.87448,0.01948
251,34,StJ,36m2,snag,31.31111,0.62538,0.86975,0.01737
252,34,StJ,64m2,snag,55.16667,1.05871,0.86198,0.01654
253,36,CdA,16m2,snag,15.54583,0.12551,0.97161,0.00784
254,36,CdA,36m2,snag,34.99444,0.21524,0.97207,0.00598
255,36,CdA,64m2,snag,62.10417,0.31795,0.97038,0.00497
256,36,StJ,16m2,snag,15.07778,0.23704,0.94236,0.01482
257,36,StJ,36m2,snag,33.70556,0.41858,0.93627,0.01163
258,36,StJ,64m2,snag,59.33611,0.69837,0.92713,0.01091
259,38,CdA,16m2,snag,15.85278,0.08008,0.9908,0.005
260,38,CdA,36m2,snag,35.6375,0.12652,0.98993,0.00351
261,38,CdA,64m2,snag,63.2875,0.18241,0.98887,0.00285
262,38,StJ,16m2,snag,15.61389,0.15075,0.97587,0.00942
263,38,StJ,36m2,snag,35.13889,0.25766,0.97608,0.00716
264,38,StJ,64m2,snag,62.05833,0.4365,0.96966,0.00682
265,40,CdA,16m2,snag,15.92083,0.06085,0.99505,0.0038
266,40,CdA,36m2,snag,35.84306,0.08047,0.99564,0.00224
267,40,CdA,64m2,snag,63.70278,0.10838,0.99536,0.00169
268,40,StJ,16m2,snag,15.85833,0.09741,0.99115,0.00609
269,40,StJ,36m2,snag,35.66667,0.17391,0.99074,0.00483
270,40,StJ,64m2,snag,63.27778,0.27296,0.98872,0.00427
271,42,CdA,16m2,snag,15.97361,0.02639,0.99835,0.00165
272,42,CdA,36m2,snag,35.96111,0.02749,0.99892,0.00076
273,42,CdA,64m2,snag,63.89861,0.04456,0.99842,0.0007
274,42,StJ,16m2,snag,15.92222,0.07778,0.99514,0.00486
275,42,StJ,36m2,snag,35.85278,0.12572,0.99591,0.00349
276,42,StJ,64m2,snag,63.76389,0.16082,0.99631,0.00251
277,44,CdA,16m2,snag,15.99861,0.00139,0.99991,0.00009
278,44,CdA,36m2,snag,35.99583,0.00239,0.99988,0.00007
279,44,CdA,64m2,snag,63.97083,0.01628,0.99954,0.00025
280,44,StJ,16m2,snag,15.93056,0.06944,0.99566,0.00434
281,44,StJ,36m2,snag,35.925,0.075,0.99792,0.00208
282,44,StJ,64m2,snag,63.925,0.075,0.99883,0.00117
283,46,CdA,16m2,snag,16,0,1,0
284,46,CdA,36m2,snag,36,0,1,0
285,46,CdA,64m2,snag,63.99444,0.00392,0.99991,0.00006
286,46,StJ,16m2,snag,16,0,1,0
287,46,StJ,36m2,snag,36,0,1,0
288,46,StJ,64m2,snag,64,0,1,0
289,48,CdA,16m2,snag,16,0,1,0
290,48,CdA,36m2,snag,36,0,1,0
291,48,CdA,64m2,snag,64,0,1,0
292,48,StJ,16m2,snag,16,0,1,0
293,48,StJ,36m2,snag,36,0,1,0
294,48,StJ,64m2,snag,64,0,1,0
295,50,CdA,16m2,snag,16,0,1,0
296,50,CdA,36m2,snag,36,0,1,0
297,50,CdA,64m2,snag,64,0,1,0
298,50,StJ,16m2,snag,16,0,1,0
299,50,StJ,36m2,snag,36,0,1,0
300,50,StJ,64m2,snag,64,0,1,0
