snagid,site,xc,yc,plotid,plot xc,plotyc,crs_epsg,sppid,treeDBH,treeHT,top,cavsum
BR222X_WH04,cda,540004.7874,5289491.334,BR222X,540022.413,5289489.46,26911,WH,0.39,7.59,BT,0
BR222X_WH05,cda,540006.4536,5289499.681,BR222X,540022.413,5289489.46,26911,WH,0.45,18.07,HIGH BT,0
BR22X2_DF01,cda,533459.145,5281618.242,BR22X2,533466.068,5281641.07,26911,DF,0.43,26,INTACT,0
BR22X2_DF02,cda,533446.5494,5281642.177,BR22X2,533466.068,5281641.07,26911,DF,0.67,8.32,BT,6
BR22X2_DF03,cda,533464.1758,5281630.831,BR22X2,533466.068,5281641.07,26911,DF,0.52,3.17,BT,1
BR22X2_DF04,cda,533467.2411,5281632.849,BR22X2,533466.068,5281641.07,26911,DF,0.49,4.6,BT,0
BR22X2_GF01,cda,533478.8702,5281659.479,BR22X2,533466.068,5281641.07,26911,GF,0.42,20.63,HIGH BT,0
BR22X4_GF01,cda,539062.8017,5284216.516,BR22X4,539066.775,5284194.54,26911,GF,0.39,20.34,INTACT,0
BR22X4_GF02,cda,539065.7135,5284207.422,BR22X4,539066.775,5284194.54,26911,GF,0.21,21.34,INTACT,0
BR22X4_GF03,cda,539069.4633,5284207.558,BR22X4,539066.775,5284194.54,26911,GF,0.19,13.02,HIGH BT,0
BR22X4_GF04,cda,539074.5178,5284214.483,BR22X4,539066.775,5284194.54,26911,GF,0.3,8.23,BT,0
BR22X4_GF05,cda,539066.1618,5284196.533,BR22X4,539066.775,5284194.54,26911,GF,0.19,21.54,INTACT,0
BR22X4_GF06,cda,539057.1981,5284179.69,BR22X4,539066.775,5284194.54,26911,GF,0.3,17.65,INTACT,0
BR22X4_GF07,cda,539055.509,5284185.458,BR22X4,539066.775,5284194.54,26911,GF,0.45,16.19,HIGH BT,0
BR22X4_GF08,cda,539043.7524,5284215.832,BR22X4,539066.775,5284194.54,26911,GF,0.2,10.86,INTACT,0
BR22X4_WH01,cda,539056.3,5284201.69,BR22X4,539066.775,5284194.54,26911,WH,0.22,6.45,BT,0
BR22XA_DF02,cda,550837.6483,5279296.421,BR22XA,550833.826,5279295.61,26911,DF,0.28,,BT,2
BR22XA_DF03,cda,550829.8775,5279300.688,BR22XA,550833.826,5279295.61,26911,DF,0.45,28.07,INTACT,0
BR22XA_DF04,cda,550816.1816,5279304.236,BR22XA,550833.826,5279295.61,26911,DF,0.41,,INTACT,0
BR22XA_DF05,cda,550825.8499,5279306.21,BR22XA,550833.826,5279295.61,26911,DF,0.46,27.25,INTACT,0
HS210B_DF01,stj,569965.0444,5221039.494,HS210B,569981.065,5221037.91,26911,DF,0.44,10.19,BT,3
HS210B_GF01,stj,569958.2756,5221021.853,HS210B,569981.065,5221037.91,26911,GF,0.28,23.2,INTACT,0
HS210B_GF02,stj,569962.412,5221056.912,HS210B,569981.065,5221037.91,26911,GF,0.48,29.49,INTACT,0
